,method,psnr,ssim,image,sigma
0,noisy,16.558402781453157,0.1993242291895614,Lenna,40.0
1,tensor_train_stacked,22.365474350513942,0.573037121527451,Lenna,40.0
2,tensor_train_stacked_upscale,22.60239255684056,0.5861574036607505,Lenna,40.0
3,noisy_blurred,24.241350977506354,0.6748592056006996,Lenna,40.0
0,noisy,14.852273332294965,0.15645694474669694,Lenna,50.0
1,tensor_train_stacked,22.395775932582673,0.5682416259654689,Lenna,50.0
2,tensor_train_stacked_upscale,22.54220198054121,0.5809986730806872,Lenna,50.0
3,noisy_blurred,23.84214511596361,0.6502866935194159,Lenna,50.0
0,noisy,13.503595766949015,0.12565540265999403,Lenna,60.0
1,tensor_train_stacked,22.21353474914595,0.5590361530576827,Lenna,60.0
2,tensor_train_stacked_upscale,22.315866509095116,0.5743652037118979,Lenna,60.0
3,noisy_blurred,23.308335152959163,0.6247707912690145,Lenna,60.0
0,noisy,12.444403937524758,0.10440986438032396,Lenna,70.0
1,tensor_train_stacked,21.840247622464915,0.5405598106382766,Lenna,70.0
2,tensor_train_stacked_upscale,21.943987418706264,0.556698544029936,Lenna,70.0
3,noisy_blurred,22.750540674144343,0.6017121841181546,Lenna,70.0
0,noisy,11.583791822494591,0.08860913742275138,Lenna,80.0
1,tensor_train_stacked,21.40798949774021,0.5322323681559963,Lenna,80.0
2,tensor_train_stacked_upscale,21.488324371512697,0.5491597090029446,Lenna,80.0
3,noisy_blurred,22.081223412423885,0.5761493589254921,Lenna,80.0
0,noisy,10.877546149398857,0.07591471630678283,Lenna,90.0
1,tensor_train_stacked,20.890544511507837,0.5221764659972264,Lenna,90.0
2,tensor_train_stacked_upscale,20.961175231854902,0.5405992816429764,Lenna,90.0
3,noisy_blurred,21.421468403407683,0.5564042166514459,Lenna,90.0
0,noisy,10.287497433451724,0.0665952379625449,Lenna,100.0
1,tensor_train_stacked,20.414088513713917,0.5110145859740869,Lenna,100.0
2,tensor_train_stacked_upscale,20.479317134823045,0.5295362675851437,Lenna,100.0
3,noisy_blurred,20.83282461817365,0.5368672595989276,Lenna,100.0
0,noisy,28.141621362723864,0.8567681669897275,Mandrill,10.0
1,tensor_train_stacked,18.687637401946667,0.25591440335314314,Mandrill,10.0
2,tensor_train_stacked_upscale,18.760018624665268,0.25775124093926155,Mandrill,10.0
3,noisy_blurred,19.88656071298836,0.3616721426141805,Mandrill,10.0
0,noisy,22.21799099944925,0.6683915950857298,Mandrill,20.0
1,tensor_train_stacked,18.80177673872918,0.2554780488151885,Mandrill,20.0
2,tensor_train_stacked_upscale,18.84482583142408,0.25819949162684397,Mandrill,20.0
3,noisy_blurred,19.850268126452956,0.3579628757384598,Mandrill,20.0
0,noisy,18.814464537480063,0.5217738114402414,Mandrill,30.0
1,tensor_train_stacked,18.88440126924299,0.2554051440868516,Mandrill,30.0
2,tensor_train_stacked_upscale,18.909812756296994,0.25897871730552835,Mandrill,30.0
3,noisy_blurred,19.793155350868957,0.3535777397788926,Mandrill,30.0
0,noisy,16.488323499050693,0.413346074025011,Mandrill,40.0
1,tensor_train_stacked,18.85105191590718,0.25444890076667676,Mandrill,40.0
2,tensor_train_stacked_upscale,18.876577710424396,0.25836810957122924,Mandrill,40.0
3,noisy_blurred,19.696132991023262,0.3464661490438838,Mandrill,40.0
0,noisy,14.764661142440975,0.33362547623401206,Mandrill,50.0
1,tensor_train_stacked,18.785850830549865,0.2509048198005714,Mandrill,50.0
2,tensor_train_stacked_upscale,18.79262839101225,0.2541791450393696,Mandrill,50.0
3,noisy_blurred,19.57965015075939,0.3393782272079873,Mandrill,50.0
0,noisy,13.421868784883252,0.27358559026386603,Mandrill,60.0
1,tensor_train_stacked,18.687911605466166,0.24697075003747934,Mandrill,60.0
2,tensor_train_stacked_upscale,18.69798060321369,0.2508321613652876,Mandrill,60.0
3,noisy_blurred,19.404207965693,0.32882851948589914,Mandrill,60.0
0,noisy,12.364079586307366,0.22982002700718063,Mandrill,70.0
1,tensor_train_stacked,18.545495023726982,0.2444385328452048,Mandrill,70.0
2,tensor_train_stacked_upscale,18.564105879884572,0.2486673990751073,Mandrill,70.0
3,noisy_blurred,19.195233467361106,0.31839555887532794,Mandrill,70.0
0,noisy,11.496935340688353,0.19403137489454306,Mandrill,80.0
1,tensor_train_stacked,18.39483544960582,0.24228031960175814,Mandrill,80.0
2,tensor_train_stacked_upscale,18.4243132385124,0.24688026246466147,Mandrill,80.0
3,noisy_blurred,18.95055566466782,0.30780671253603203,Mandrill,80.0
0,noisy,10.820310938935036,0.16829921999549827,Mandrill,90.0
1,tensor_train_stacked,18.207176410556386,0.23614914891523733,Mandrill,90.0
2,tensor_train_stacked_upscale,18.233485970733824,0.24115871981522377,Mandrill,90.0
3,noisy_blurred,18.70636188831288,0.2978761454740837,Mandrill,90.0
0,noisy,10.242632159307643,0.1474089276425349,Mandrill,100.0
1,tensor_train_stacked,17.966374651274982,0.23364765335929985,Mandrill,100.0
2,tensor_train_stacked_upscale,17.99844742189768,0.23877437394722223,Mandrill,100.0
3,noisy_blurred,18.437209483333383,0.2883905414926719,Mandrill,100.0
0,noisy,28.258945233477135,0.6519506558117892,Peppers,10.0
1,tensor_train_stacked,17.725410086641862,0.5138133774023949,Peppers,10.0
2,tensor_train_stacked_upscale,18.314540917585497,0.515989470041966,Peppers,10.0
3,noisy_blurred,25.523522232663534,0.6977953399051312,Peppers,10.0
0,noisy,22.33051666239012,0.38082556501521775,Peppers,20.0
1,tensor_train_stacked,18.94111481504334,0.513910115269845,Peppers,20.0
2,tensor_train_stacked_upscale,19.543502829617786,0.5179583697709739,Peppers,20.0
3,noisy_blurred,25.33482146385566,0.6819466032431731,Peppers,20.0
0,noisy,18.971703103151548,0.25248049836275654,Peppers,30.0
1,tensor_train_stacked,20.140833701922084,0.511431051551865,Peppers,30.0
2,tensor_train_stacked_upscale,20.641935600157723,0.5172966098649114,Peppers,30.0
3,noisy_blurred,25.038895905562683,0.6639625316556282,Peppers,30.0
0,noisy,16.71545265131489,0.18409016018966837,Peppers,40.0
1,tensor_train_stacked,20.842549804655253,0.5056654345823305,Peppers,40.0
2,tensor_train_stacked_upscale,21.202789209451133,0.5131386941271672,Peppers,40.0
3,noisy_blurred,24.616202326834156,0.6437915822407938,Peppers,40.0
0,noisy,15.02669508535162,0.14192922421220652,Peppers,50.0
1,tensor_train_stacked,21.413179112981968,0.5003213912774992,Peppers,50.0
2,tensor_train_stacked_upscale,21.608964058775513,0.5090083040302273,Peppers,50.0
3,noisy_blurred,24.05485102258293,0.6211624996782883,Peppers,50.0
0,noisy,13.701372677100297,0.11361155802303265,Peppers,60.0
1,tensor_train_stacked,21.24857921360669,0.49081211179729395,Peppers,60.0
2,tensor_train_stacked_upscale,21.378120363467865,0.5005326162034248,Peppers,60.0
3,noisy_blurred,23.392208548693954,0.5988323190233172,Peppers,60.0
0,noisy,12.61799885119829,0.09310195760660367,Peppers,70.0
1,tensor_train_stacked,20.931942583211978,0.48199037776468817,Peppers,70.0
2,tensor_train_stacked_upscale,21.033393733207284,0.49288986074810825,Peppers,70.0
3,noisy_blurred,22.6271565231451,0.5746395759361609,Peppers,70.0
0,noisy,11.748204865629786,0.0787202329587489,Peppers,80.0
1,tensor_train_stacked,20.510382957355947,0.47196272473795725,Peppers,80.0
2,tensor_train_stacked_upscale,20.571047903633296,0.48413615412704064,Peppers,80.0
